Date,Home,Away,Market Total,Model Total,Total Edge,Total Bet,Total Confidence,Total W/L
2026-04-04,Creighton,West Virginia,136.5,118.8,-17.7,Under 136.5,A,
2026-04-04,Connecticut,(3) Illinois,139.5,145.8,6.3,Over 139.5,A,
2026-04-04,Baylor,Oklahoma,157,139.5,-17.5,Under 157.0,A,
2026-04-04,(1) Arizona,(1) Michigan,157.5,174.6,17.1,Over 157.5,,
2026-03-29,(1) Duke,Connecticut,134.5,136.4,1.9,Over 134.5,A,W
2026-03-28,(3) Illinois,(9) Iowa,139,138.7,-0.3,Under 139.0,,W
2026-03-27,(1) Duke,(5) St. John's,140.5,148.1,7.6,Over 140.5,A,W
2026-03-27,(1) Michigan,(4) Alabama,173,161.9,-11.1,Under 173.0,A,W
2026-03-26,(2) Houston,(3) Illinois,140,148,8.0,Over 140.0,A,L
2026-03-22,(2) Purdue,(7) Miami FL,147,156,9.0,Over 147.0,A,W
2026-03-22,(1) Arizona,(9) Utah St.,154.5,166.1,11.6,Over 154.5,B,L
2026-03-21,(1) Michigan,(9) Saint Louis,161.5,167.5,6.0,Over 161.5,A,W
2026-03-21,(4) Nebraska,(5) Vanderbilt,146.5,156.2,9.7,Over 146.5,A,W
2026-03-21,(2) Houston,(10) Texas A&M,143,154.3,11.3,Over 143.0,B,L
2026-03-20,(4) Kansas,(13) Cal Baptist,138,144.1,6.1,Over 138.0,A,L
2026-03-20,(4) Alabama,(13) Hofstra,158.5,152.3,-6.2,Under 158.5,B,L
2026-03-19,(2) Houston,(15) Idaho,138,144,6.0,Over 138.0,A,L
2026-03-19,(1) Duke,(16) Siena,136.5,143.8,7.3,Over 136.0,A,P
2026-03-19,(5) Wisconsin,(12) High Point,162,153,-9.0,Under 162.0,C,L
2026-03-19,(8) Georgia,(9) Saint Louis,168.5,161,-7.5,Under 168.5,B,L
2026-03-18,Nevada,Murray St.,161,154.9,-6.1,Under 161.0,B,L
2026-03-18,Bradley,Dayton,141.5,151.3,9.8,Over 141.5,A,W
2026-03-18,(16) Lehigh,(16) Prairie View A&M,141,131.9,-9.1,Under 141.0,C,W
2026-03-17,(11) Texas,(11) N.C. State,157.5,168.4,10.9,Over 157.5,B,L
2026-03-14,Utah St.,San Diego St.,145.5,153.2,7.7,Over 145.5,C,L
2026-03-14,UCLA,Purdue,144,156,12.0,Over 144.0,B,L
2026-03-14,Wichita St.,Tulsa,152,140.5,-11.5,Under 152.0,B,W
2026-03-13,UC Irvine,Cal St. Northridge,149,140.5,-8.5,Under 149.0,C,L
2026-03-13,Saint Louis,George Washington,161.5,154.6,-6.9,Under 161.5,C,L
2026-03-13,Howard,South Carolina St.,144.5,133.2,-11.3,Under 144.5,B,W
2026-03-13,Cal Baptist,Utah Tech,137.5,129.1,-8.4,Under 137.5,C,L
2026-03-13,Florida,Kentucky,160,171.5,11.5,Over 160.0,B,L
2026-03-13,VCU,Duquesne,153.5,145.3,-8.2,Under 153.5,C,W
2026-03-13,Connecticut,Georgetown,139.5,151.2,11.7,Over 139.5,B,L
2026-03-13,Illinois,Wisconsin,156.5,168,11.5,Over 156.5,B,W
2026-03-13,Arkansas,Oklahoma,168.5,162.2,-6.3,Under 168.5,C,W
2026-03-12,Connecticut,Xavier,151.5,157.5,6.0,Over 151.5,C,W
2026-03-12,Missouri,Kentucky,149,156.2,7.2,Over 149.0,C,W
2026-03-12,Grand Canyon,Nevada,137.5,146.9,9.4,Over 137.5,C,W
2026-03-12,Seton Hall,Creighton,132.5,143.5,11.0,Over 132.5,B,W
2026-03-12,Louisiana Tech,Middle Tennessee,131.5,124.9,-6.6,Under 131.5,C,L
2026-03-12,George Mason,St. Bonaventure,141.5,130.9,-10.6,Under 141.5,B,W
2026-03-12,Davidson,Loyola Chicago,132.5,124.6,-7.9,Under 132.5,C,W
2026-03-12,Virginia,N.C. State,150,161.8,11.8,Over 150.0,B,W
2026-03-12,Villanova,Georgetown,140.5,147.5,7.0,Over 140.5,C,W
2026-03-12,Cal St. Northridge,UC San Diego,150,141.3,-8.7,Under 150.0,C,P
2026-03-11,Sam Houston St.,New Mexico St.,153.5,142.8,-10.7,Under 153.5,B,W
2026-03-11,UC San Diego,Cal Poly,160.5,144.5,-16.0,Under 160.5,A,W
2026-03-11,Richmond,Loyola Chicago,142,129.7,-12.3,Under 142.0,B,P
2026-03-11,UCF,Cincinnati,149.5,163,13.5,Over 149.5,B,L
2026-03-11,Indiana,Northwestern,142,155.6,13.6,Over 142.0,B,L
2026-03-11,Louisville,SMU,163.5,173.4,9.9,Over 163.5,C,L
2026-03-11,DePaul,Georgetown,132.5,146.7,14.2,Over 132.5,B,L
2026-03-11,N.C. State,Pittsburgh,161.5,152.2,-9.3,Under 161.5,C,L
2026-03-11,Washington,USC,152.5,158.8,6.3,Over 152.5,C,W
2026-03-11,Iowa St.,Arizona St.,149,168.2,19.2,Over 149.0,A,L
2026-03-11,Liberty,Missouri St.,143,133.2,-9.8,Under 143.0,C,L
2026-03-11,Minnesota,Rutgers,135,143.1,8.1,Over 135.0,C,W
2026-03-11,Kentucky,LSU,151.5,158.4,6.9,Over 151.5,C,W
2026-03-11,Nevada,Air Force,141,129.2,-11.8,Under 141.0,B,W
2026-03-11,Clemson,Wake Forest,140,156,16.0,Over 140.0,A,L
2026-03-11,Lehigh,Boston University,138,121.1,-16.9,Under 138.0,A,W
2026-03-11,Memphis,Tulane,151.5,140.1,-11.4,Under 151.5,B,W
2026-03-11,West Virginia,BYU,141,155.2,14.2,Over 141.0,B,L
2026-03-11,Texas,Mississippi,144.5,154.2,9.7,Over 144.5,C,L
2026-03-11,Florida St.,California,153,159.5,6.5,Over 153.0,C,W
2026-03-11,Stephen F. Austin,McNeese St.,134.5,147.6,13.1,Over 134.5,B,W
2026-03-10,Hofstra,Monmouth,133,140.6,7.6,Over 133.0,C,W
2026-03-10,Virginia Tech,Wake Forest,151.5,158.2,6.7,Over 151.5,C,W
2026-03-10,Stanford,Pittsburgh,137.5,147.6,10.1,Over 137.5,B,L
2026-03-10,Merrimack,Siena,124.5,130.7,6.2,Over 124.5,C,L
2026-03-10,Stephen F. Austin,Texas A&M Corpus Chris,134.5,142.6,8.1,Over 134.5,C,L
2026-03-10,Jacksonville St.,New Mexico St.,140,132.5,-7.5,Under 140.0,C,W
2026-03-10,UMBC,UMass Lowell,146.5,128.8,-17.7,Under 146.5,A,L
2026-03-10,Arizona St.,Baylor,152.5,162.1,9.6,Over 152.5,C,W
2026-03-10,LIU,Mercyhurst,136.5,125.9,-10.6,Under 136.5,B,L
2026-03-10,Vermont,NJIT,135,122.3,-12.7,Under 135.0,B,W
2026-03-10,SMU,Syracuse,154.5,161.1,6.6,Over 154.5,C,W
2026-03-10,McNeese St.,UT Rio Grande Valley,140,147.7,7.7,Over 140.0,C,W
2026-03-10,Wright St.,Detroit Mercy,151.5,141.1,-10.4,Under 151.5,B,W
2026-03-10,FIU,Missouri St.,153,139.3,-13.7,Under 153.0,B,W
2026-03-10,Cincinnati,Utah,137.5,154,16.5,Over 137.5,A,W
2026-03-10,Oregon,Maryland,138.5,144.7,6.2,Over 138.5,C,L
2026-03-10,Jackson St.,Grambling St.,141.5,122.7,-18.8,Under 141.5,A,W
2026-03-10,Eastern Washington,Idaho,151.5,141.2,-10.3,Under 151.5,B,W
2026-03-10,Gonzaga,Santa Clara,159.5,176.3,16.8,Over 159.5,A,L
2026-03-09,Wright St.,Northern Kentucky,157.5,149,-8.5,Under 157.5,C,L
2026-03-09,Gonzaga,Oregon St.,145,163,18.0,Over 145.0,A,L
2026-03-09,Eastern Washington,Weber St.,154.5,146.3,-8.2,Under 154.5,C,L
2026-03-09,Hofstra,Towson,132,143.6,11.6,Over 132.0,B,W
